Term	Genes	FDR	Category	Description
GO:0009888	FGF4,MAPK1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,LEF1,CDH2,TP53,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,AKT1,MYC	3.38e-40	Process	Tissue development
GO:0042127	FGF4,MAPK1,CCND1,GLI1,NANOG,TWIST1,BMP4,SOX9,JAG1,KRAS,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,HNF4A,FGF8,SOX2,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	3.38e-40	Process	Regulation of cell population proliferation
GO:0051094	MAPK1,NFKB1,CCND1,GLI1,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,WNT5A,STAT3,LEF1,CDH2,TP53,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,FGF8,SOX2,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,CDKN2A,PROM1,HIF1A,AKT1,MYC	1.28e-36	Process	Positive regulation of developmental process
GO:0009653	FGF4,MAPK1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,CASP3,FGF8,SOX2,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,AKT1,MYC	4.67e-36	Process	Anatomical structure morphogenesis
GO:0045595	MAPK1,NFKB1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,CDKN2A,PROM1,HIF1A,AKT1,MYC,SHFM1	5.62e-35	Process	Regulation of cell differentiation
GO:0009887	FGF4,MAPK1,GLI1,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,SMAD2,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FGF8,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,MYC	6.77e-35	Process	Animal organ morphogenesis
GO:0048732	MAPK1,CCND1,GLI1,BMP4,SOX9,KRAS,CDH1,SMAD2,MAPK3,WNT5A,LEF1,NOTCH1,WNT3A,WNT1,SHH,HNF4A,FGF8,SOX2,WT1,SMAD3,SMAD4,CTNNB1,NF1,JUN,PTEN,SRC,TGFBR1,BMP2,BCL2,FGFR1,PAX6,ESR1,HIF1A,AKT1	1.58e-34	Process	Gland development
GO:0051239	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,FOS,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,PROM1,HIF1A,AKT1,MYC,SHFM1	3.15e-34	Process	Regulation of multicellular organismal process
GO:2000026	MAPK1,CCND1,GLI1,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,SMAD2,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,PROM1,HIF1A,AKT1,MYC,SHFM1	3.15e-34	Process	Regulation of multicellular organismal development
GO:0007166	FGF4,MAPK1,NFKB1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,HIF1A,AKT1,MYC,SHFM1	2.11e-33	Process	Cell surface receptor signaling pathway
