source	target	weight
TGFB2	CD4	702
TGFB2	SNAI2	613
TGFB2	FGF4	524
TGFB2	FGF20	509
TGFB2	FGF22	513
TGFB2	TIMP1	696
TGFB2	MMP2	721
TGFB2	TGFB1	957
TGFB2	HGF	647
TGFB2	SERPINE1	774
TGFB2	CSF3	408
TGFB2	CCL2	712
TGFB2	COL1A1	606
TGFB2	NFKB1	406
TGFB2	IL2	512
TGFB2	CCND1	450
TGFB2	FGF6	522
TGFB2	IFNG	597
TGFB2	LOX	522
TGFB2	IL4	564
TGFB2	TGFB3	930
TGFB2	TWIST1	480
TGFB2	SNAI1	603
TGFB2	SOX9	667
TGFB2	PXDN	452
TGFB2	JAG1	460
TGFB2	PDGFRA	445
TGFB2	NT5E	407
TGFB2	THBS1	892
TGFB2	CDH1	595
TGFB2	PDGFRB	654
TGFB2	SMAD2	941
TGFB2	MAPK3	443
TGFB2	IL1A	568
TGFB2	IL1B	615
TGFB2	KDR	638
TGFB2	FGF2	789
TGFB2	WNT5A	480
TGFB2	STAT3	501
TGFB2	FGF10	542
TGFB2	ICAM1	415
TGFB2	EGF	590
TGFB2	FGF7	740
TGFB2	CDH2	546
TGFB2	TP53	496
TGFB2	FGF18	526
TGFB2	EGFR	711
TGFB2	FLT1	400
TGFB2	ALB	464
TGFB2	CSF2	519
TGFB2	SHH	479
TGFB2	MMP3	448
TGFB2	IL13	502
TGFB2	CXCL8	584
TGFB2	FGF5	502
TGFB2	MET	427
TGFB2	FGF8	498
TGFB2	MMP1	630
TGFB2	GSK3B	411
TGFB2	CSF1	441
TGFB2	SMAD3	966
TGFB2	FGF3	497
TGFB2	SMAD4	877
TGFB2	FN1	829
TGFB2	PXDNL	431
TGFB2	FGF17	498
TGFB2	ENG	710
TGFB2	IL10	626
TGFB2	CD274	439
TGFB2	DKK1	419
TGFB2	MMP9	780
TGFB2	CXCL12	512
TGFB2	TNFSF11	554
TGFB2	AKT1	695
TGFB2	CXCL1	437
TGFB2	FGF9	534
TGFB2	RHOA	418
TGFB2	VEGFC	435
TGFB2	FGF13	585
TGFB2	ITGB1	755
TGFB2	BMP2	722
TGFB2	CD8A	673
TGFB2	CTNNB1	595
TGFB2	NOTCH1	410
TGFB2	CDH5	452
TGFB2	TGFA	674
TGFB2	TGFBR1	998
TGFB2	PTGS2	631
TGFB2	PTPRC	408
TGFB2	TNF	791
TGFB2	CXCR4	410
TGFB2	CD44	509
TGFB2	FGFR1	588
TGFB2	ACTB	477
TGFB2	GAPDH	597
TGFB2	FGF16	507
TGFB2	IGF1	740
TGFB2	IGF1R	642
TGFB2	RUNX2	483
TGFB2	MYC	439
TGFB2	INS	476
TGFB2	PECAM1	480
TGFB2	HIF1A	462
TGFB2	CCN2	725
TGFB2	IL6	819
TGFB2	NGF	410
TGFB2	IGF2	462
TGFB2	SPP1	511
TGFB2	IL17A	482
TGFB2	BDNF	424
TGFB2	JUN	651
TGFB2	EDN1	515
TGFB2	SRC	674
THBS1	CD4	817
THBS1	FGF4	480
THBS1	FGF20	477
THBS1	FGF22	506
THBS1	TIMP1	762
THBS1	MMP2	985
THBS1	TGFB1	985
THBS1	HGF	550
THBS1	SERPINE1	819
THBS1	CCL2	742
THBS1	COL1A1	896
THBS1	NFKB1	437
THBS1	CCND1	428
THBS1	FGF6	474
THBS1	IFNG	452
THBS1	LOX	807
THBS1	TGFB3	890
THBS1	TWIST1	401
THBS1	SNAI1	620
THBS1	BMP4	407
THBS1	APOE	649
THBS1	PXDN	440
THBS1	JAG1	599
THBS1	CDH2	585
THBS1	FGF18	490
THBS1	SMAD2	534
THBS1	HIF1A	616
THBS1	FN1	999
THBS1	CCN2	749
THBS1	SMAD3	535
THBS1	PDGFRB	437
THBS1	IGF2	572
THBS1	CDH1	624
THBS1	IL6	772
THBS1	FGF3	454
THBS1	EGF	581
THBS1	SRC	516
THBS1	EDN1	641
THBS1	JUN	493
THBS1	SMAD4	428
THBS1	KDR	873
THBS1	TP53	720
THBS1	STAT3	526
THBS1	SPP1	731
THBS1	CXCR4	461
THBS1	MMP1	611
THBS1	CD44	767
THBS1	TNF	567
THBS1	IL1B	581
THBS1	MET	627
THBS1	FGF10	507
THBS1	IGF1	658
THBS1	IGF1R	401
THBS1	IL1A	434
THBS1	FGF16	499
THBS1	CASP3	418
THBS1	GAPDH	519
THBS1	ACTB	538
THBS1	BCL2	405
THBS1	PECAM1	628
THBS1	INS	456
THBS1	ICAM1	670
THBS1	MYC	681
THBS1	AGT	425
THBS1	FGF7	552
THBS1	FGF2	841
THBS1	CTNNB1	516
THBS1	CDKN2A	667
THBS1	NOTCH1	400
THBS1	CDH5	427
THBS1	TGFBR1	490
THBS1	WNT3A	507
THBS1	TLR4	501
THBS1	PTPRC	423
THBS1	ERBB2	461
THBS1	PTGS2	498
THBS1	ENG	650
THBS1	AKT1	587
THBS1	EGFR	708
THBS1	FGF8	451
THBS1	CXCL12	553
THBS1	MMP9	997
THBS1	CSF1	416
THBS1	FLT1	544
THBS1	CXCL8	713
THBS1	IL10	451
THBS1	FGF5	456
THBS1	CD34	450
THBS1	RHOA	422
THBS1	FGF9	501
THBS1	PTEN	476
THBS1	FOS	569
THBS1	CXCL1	607
THBS1	SOX2	502
THBS1	MAPK3	427
THBS1	CD8A	418
THBS1	MMP3	516
THBS1	BMP2	492
THBS1	ITGB1	989
THBS1	FGF13	584
THBS1	VEGFC	558
THBS1	VCAM1	668
THBS1	ALB	463
THBS1	FGF17	476
MMP3	CD4	659
MMP3	SNAI2	472
MMP3	FGF4	463
MMP3	FGF20	433
MMP3	FGF22	424
MMP3	MAPK1	500
MMP3	TIMP1	999
MMP3	MMP2	527
MMP3	TGFB1	787
MMP3	HGF	691
MMP3	SERPINE1	877
MMP3	CSF3	648
MMP3	CCL2	806
MMP3	COL1A1	678
MMP3	NFKB1	695
MMP3	IL2	471
MMP3	CCND1	474
MMP3	FGF6	434
MMP3	IFNG	725
MMP3	LOX	669
MMP3	IL4	655
MMP3	TGFB3	477
MMP3	TWIST1	421
MMP3	SNAI1	652
MMP3	BMP4	596
MMP3	SOX9	592
MMP3	APOE	821
MMP3	PXDN	547
MMP3	CDH1	739
MMP3	PDGFRB	404
MMP3	SMAD2	498
MMP3	MAPK3	645
MMP3	IL1A	807
MMP3	IL1B	832
MMP3	KDR	404
MMP3	FGF2	743
MMP3	WNT5A	446
MMP3	STAT3	892
MMP3	FGF10	438
MMP3	ICAM1	579
MMP3	LEF1	534
MMP3	EGF	558
MMP3	FGF7	506
MMP3	CDH2	494
MMP3	TP53	507
MMP3	FGF18	468
MMP3	EGFR	737
MMP3	PPARG	423
MMP3	VCAM1	565
MMP3	ALB	540
MMP3	CSF2	575
MMP3	INS	643
MMP3	PECAM1	483
MMP3	BCL2	478
MMP3	AGT	422
MMP3	IL13	481
MMP3	RUNX2	485
MMP3	MYC	623
MMP3	FGF16	432
MMP3	IGF1	522
MMP3	ACTB	585
MMP3	GAPDH	757
MMP3	CASP3	575
MMP3	ESR1	409
MMP3	TNF	853
MMP3	CD44	530
MMP3	MMP1	985
