Nombre	Coef.Clustering
TRIP13	NA
SALL4	0
SLC25A11	0.972222222222222
TRIM28	0
VHL	0.333333333333333
TMEM127	0.893939393939394
KIF1B	0.955555555555555
TP63	1
SDHA	0.714285714285714
TRIM44	0
LDHD	1
WNT10B	0.333333333333333
SDHAF2	0.893939393939394
REST	0
MDH2	0.820512820512821
FOXE3	1
DLST	1
RET	0.712121212121212
NF1	0.476190476190476
MAX	0.955555555555555
FH	0.745454545454545
SDHC	0.714285714285714
BTRC	0.333333333333333
MAFB	0
SDHB	0.628571428571429
WT1	0.285714285714286
BRCA2	0.4
GPC3	0.166666666666667
ELP4	1
DLX6	0.7
SEM1	0.238095238095238
PAX6	0.138888888888889
FOXC1	1
DLX5	0.466666666666667
PITX2	0.333333333333333
CHN1	NA
SDHD	0.820512820512821
FBXW4	0.6
PORCN	NA
POU6F2	0.333333333333333
CTCFL	NA
