Nombre	IndiceIntermediacion
TRIP13	0
SALL4	0.237245618426865
SLC25A11	0.000533833540692482
TRIM28	0.0197211609170763
VHL	0.0825796188915476
TMEM127	0.0136670627163069
KIF1B	0.00801121847145388
TP63	0
SDHA	0.102892921539397
TRIM44	0.102465359724411
LDHD	0
WNT10B	0.259651550063864
SDHAF2	0.0136670627163069
REST	0.134490463351793
MDH2	0.0294468124243433
FOXE3	0
DLST	0
RET	0.200929209569566
NF1	1
MAX	0.00411365846063031
FH	0.0361891168087414
SDHC	0.348311381511967
BTRC	0.115219861449357
MAFB	0.09143436177885
SDHB	0.175909904179589
WT1	0.5058318710771
BRCA2	0.195957582465813
GPC3	0.293608056294022
ELP4	0
DLX6	0.0861661020235205
SEM1	0.655477848452975
PAX6	0.873039709744969
FOXC1	0
DLX5	0.187283880695053
PITX2	0.152111879008812
CHN1	0
SDHD	0.0294468124243433
FBXW4	0.0761656203612147
PORCN	0
POU6F2	0.0754861664314173
CTCFL	0
