source	target	weight
TGFBR1	CD4	424
TGFBR1	SNAI2	572
TGFBR1	FGF4	431
TGFBR1	FGF20	435
TGFBR1	FGF22	426
TGFBR1	TIMP1	435
TGFBR1	MMP2	484
TGFBR1	TGFB1	999
TGFBR1	HGF	408
TGFBR1	SERPINE1	623
TGFBR1	CCL2	402
TGFBR1	COL1A1	721
TGFBR1	NFKB1	417
TGFBR1	CCND1	421
TGFBR1	FGF6	424
TGFBR1	IFNG	414
TGFBR1	LOX	453
TGFBR1	TGFB3	999
TGFBR1	TWIST1	434
TGFBR1	SNAI1	607
TGFBR1	BMP4	791
TGFBR1	SOX9	427
TGFBR1	PXDN	464
TGFBR1	JAG1	449
TGFBR1	KRAS	505
TGFBR1	PDGFRA	626
TGFBR1	THBS1	490
TGFBR1	CDH1	612
TGFBR1	PDGFRB	460
TGFBR1	SMAD2	999
TGFBR1	IL1B	474
TGFBR1	KDR	476
TGFBR1	FGF2	542
TGFBR1	STAT3	519
TGFBR1	FGF10	456
TGFBR1	EGF	546
TGFBR1	FGF7	454
TGFBR1	CDH2	571
TGFBR1	TP53	522
TGFBR1	ERBB2	477
TGFBR1	FGF18	420
TGFBR1	EGFR	675
TGFBR1	WNT3A	426
TGFBR1	PPARG	639
TGFBR1	KIT	400
TGFBR1	ALB	453
TGFBR1	SHH	430
TGFBR1	CASP3	466
TGFBR1	FGF5	418
TGFBR1	FGF8	453
TGFBR1	SOX2	403
TGFBR1	GSK3B	424
TGFBR1	SMAD3	999
TGFBR1	FGF3	418
TGFBR1	SMAD4	998
TGFBR1	FN1	630
TGFBR1	PXDNL	464
TGFBR1	FGF17	418
TGFBR1	AGT	436
TGFBR1	TGFB2	998
TGFBR1	CCN2	775
TGFBR1	JUN	541
TGFBR1	RUNX2	675
TGFBR1	PTEN	487
TGFBR1	MMP9	542
TGFBR1	ENG	969
TGFBR1	TLR4	436
TGFBR1	KLF4	415
TGFBR1	BMP2	747
TGFBR1	EDN1	414
TGFBR1	FGF9	463
TGFBR1	IGF1	459
TGFBR1	ITGB1	435
TGFBR1	GAPDH	591
TGFBR1	INS	469
TGFBR1	BCL2	414
TGFBR1	IL6	505
TGFBR1	CXCR4	581
TGFBR1	FGF13	418
TGFBR1	CD44	849
TGFBR1	TNF	502
TGFBR1	FGF16	434
TGFBR1	RHOA	794
TGFBR1	ESR1	583
TGFBR1	PTPRC	419
TGFBR1	IL10	600
TGFBR1	CDKN2A	405
TGFBR1	HIF1A	450
TGFBR1	CTNNB1	859
TGFBR1	CDH5	442
TGFBR1	NOTCH1	626
TGFBR1	ACTB	546
TGFBR1	PECAM1	425
TGFBR1	MYC	512
TNF	CD4	968
TNF	SNAI2	432
TNF	FGF4	768
TNF	FGF20	651
TNF	FGF22	652
TNF	MAPK1	757
TNF	TIMP1	727
TNF	MMP2	729
TNF	TGFB1	941
TNF	HGF	679
TNF	SERPINE1	764
TNF	CSF3	949
TNF	CCL2	978
TNF	COL1A1	598
TNF	NFKB1	999
TNF	IL2	957
TNF	CCND1	656
TNF	GLI1	484
TNF	FGF6	655
TNF	IFNG	991
TNF	LOX	594
TNF	IL4	977
TNF	TGFB3	578
TNF	TWIST1	424
TNF	SNAI1	593
TNF	BMP4	452
TNF	SOX9	478
TNF	APOE	806
TNF	PXDN	800
TNF	GFAP	705
TNF	JAG1	488
TNF	KRAS	717
TNF	PDGFRA	432
TNF	NT5E	605
TNF	POU5F1	423
TNF	THBS1	567
TNF	CDH1	659
TNF	PDGFRB	492
TNF	SMAD2	626
TNF	MAPK3	922
TNF	IL1A	994
TNF	IL1B	998
TNF	KDR	617
TNF	FGF2	732
TNF	WNT5A	459
TNF	STAT3	939
TNF	FGF10	650
TNF	ICAM1	944
TNF	EGF	793
TNF	FGF7	695
TNF	CDH2	492
TNF	TP53	865
TNF	ERBB2	621
TNF	FGF18	655
TNF	EGFR	890
TNF	FLT1	610
TNF	THY1	619
TNF	WNT3A	412
TNF	PPARG	807
TNF	KIT	608
TNF	VCAM1	923
TNF	ALB	870
TNF	ANXA5	758
TNF	CSF2	970
TNF	SHH	436
TNF	MMP3	853
TNF	IL13	957
TNF	FOS	728
TNF	CXCL8	983
TNF	CD34	712
TNF	CASP3	939
TNF	FGF5	653
TNF	LEP	892
TNF	HNF4A	446
TNF	MET	657
TNF	FGF8	653
TNF	MMP1	724
TNF	SOX2	432
TNF	GSK3B	649
TNF	CSF1	801
TNF	SMAD3	632
TNF	FGF3	652
TNF	SMAD4	515
TNF	FN1	970
TNF	PXDNL	800
TNF	FGF17	653
TNF	MTOR	671
TNF	AGT	856
TNF	TGFB2	791
TNF	PTGS2	916
TNF	CCN2	740
TNF	NES	436
TNF	NGF	714
TNF	JUN	989
TNF	RUNX2	608
TNF	PTEN	638
TNF	MMP9	930
TNF	ENG	580
TNF	SRC	904
TNF	DKK1	511
TNF	TLR4	969
TNF	KLF4	516
TNF	BMP2	731
TNF	EDN1	732
TNF	CD274	807
TNF	FGF9	647
TNF	IGF1	837
TNF	SPP1	667
TNF	CXCL1	955
TNF	CXCL12	750
TNF	ITGB1	718
TNF	CCK	688
TNF	GAPDH	849
TNF	INS	926
TNF	BCL2	885
TNF	TNFSF11	831
TNF	IL6	994
TNF	CD8A	958
TNF	CXCR4	814
TNF	IGF2	659
TNF	FGF13	584
TNF	CD44	822
TNF	IGF1R	630
TNF	FGF16	647
TNF	PROM1	481
TNF	ACTB	847
TNF	PECAM1	728
TNF	MYC	702
TNF	ESR1	652
TNF	BDNF	739
TNF	IL17A	958
TNF	HIF1A	818
TNF	KITLG	594
TNF	RHOA	779
TNF	VEGFC	531
TNF	AKT1	907
TNF	IL10	992
TNF	PTPRC	833
TNF	CTNNB1	715
TNF	TGFA	833
TNF	SEM1	429
TNF	NOTCH1	711
TNF	CDH5	593
TNF	CDKN2A	572
POU5F1	SNAI2	676
POU5F1	FGF4	745
POU5F1	FGF20	682
POU5F1	FGF22	685
POU5F1	MMP2	426
POU5F1	TGFB1	552
POU5F1	HGF	457
POU5F1	COL1A1	442
POU5F1	NFKB1	411
POU5F1	CCND1	612
POU5F1	GLI1	607
POU5F1	FGF6	685
POU5F1	NANOG	999
POU5F1	TWIST1	671
POU5F1	SNAI1	711
POU5F1	BMP4	742
POU5F1	SOX9	693
POU5F1	PXDN	579
POU5F1	GFAP	638
POU5F1	JAG1	459
POU5F1	KRAS	464
POU5F1	PDGFRA	528
POU5F1	NT5E	699
POU5F1	CTNNB1	999
POU5F1	FGF2	931
POU5F1	FGF7	698
POU5F1	PPARG	478
POU5F1	CDKN2A	510
POU5F1	CDH5	491
POU5F1	NOTCH1	633
POU5F1	ANXA5	515
POU5F1	CCK	509
POU5F1	KIT	707
POU5F1	WNT3A	559
POU5F1	NES	835
POU5F1	KLF4	994
POU5F1	ERBB2	506
POU5F1	WT1	456
POU5F1	PTPRC	623
POU5F1	ENG	707
POU5F1	MTOR	400
POU5F1	FGF5	733
POU5F1	AKT1	750
POU5F1	EGFR	575
POU5F1	MMP9	478
POU5F1	CXCL12	472
POU5F1	FGF8	735
POU5F1	DKK1	512
POU5F1	PTEN	545
POU5F1	FGF9	695
POU5F1	MAPK3	475
POU5F1	SOX2	999
POU5F1	CD34	723
POU5F1	FGF13	611
POU5F1	ALB	677
POU5F1	FGF17	713
POU5F1	WNT1	417
POU5F1	BMP2	478
POU5F1	ITGB1	654
POU5F1	SMAD2	928
POU5F1	HIF1A	650
POU5F1	WNT5A	459
POU5F1	CDH2	689
POU5F1	FGF18	685
POU5F1	SMAD3	962
POU5F1	KITLG	545
POU5F1	PDGFRB	400
POU5F1	FN1	600
POU5F1	PAX6	803
POU5F1	IL6	541
POU5F1	CDH1	852
POU5F1	FGF3	689
POU5F1	EGF	698
POU5F1	PXDNL	574
POU5F1	IGF2	554
POU5F1	KDR	577
POU5F1	SHH	620
POU5F1	SMAD4	720
POU5F1	JUN	480
POU5F1	TP53	824
POU5F1	BDNF	512
POU5F1	SPP1	475
POU5F1	STAT3	946
POU5F1	GSK3B	583
POU5F1	SRC	407
POU5F1	LEF1	741
POU5F1	CD44	819
POU5F1	CXCR4	626
POU5F1	THY1	738
POU5F1	ESR1	678
POU5F1	MET	446
POU5F1	GAPDH	818
POU5F1	CASP3	598
POU5F1	ACTB	695
POU5F1	PROM1	846
POU5F1	FGF10	711
POU5F1	HNF4A	590
POU5F1	IGF1R	410
POU5F1	IGF1	521
POU5F1	FGF16	684
POU5F1	MYC	956
POU5F1	RUNX2	581
POU5F1	PECAM1	620
POU5F1	BCL2	601
POU5F1	INS	629
COL1A1	SNAI2	661
COL1A1	TIMP1	842
COL1A1	MMP2	828
COL1A1	TGFB1	802
COL1A1	SERPINE1	643
COL1A1	CCL2	604
COL1A1	ENG	500
COL1A1	JAG1	440
COL1A1	CXCL8	408
COL1A1	IL10	424
COL1A1	DKK1	499
COL1A1	CXCL12	599
COL1A1	MMP9	840
COL1A1	EGFR	655
COL1A1	TNFSF11	597
COL1A1	AKT1	697
COL1A1	SOX2	426
COL1A1	MAPK3	453
COL1A1	PTEN	631
COL1A1	FOS	669
COL1A1	IFNG	407
COL1A1	TWIST1	509
COL1A1	CD34	690
COL1A1	ALB	577
COL1A1	VCAM1	441
COL1A1	FGF13	454
COL1A1	ITGB1	984
COL1A1	CCND1	451
COL1A1	WNT1	450
COL1A1	MMP3	678
COL1A1	BMP2	691
COL1A1	CTNNB1	589
COL1A1	FGF2	580
COL1A1	PPARG	604
COL1A1	LOX	808
COL1A1	FGF7	441
COL1A1	CDH5	464
COL1A1	NOTCH1	406
COL1A1	CCK	438
COL1A1	TGFB2	606
COL1A1	PTGS2	626
COL1A1	SNAI1	493
COL1A1	KLF4	409
COL1A1	PTPRC	584
COL1A1	PDGFRA	684
COL1A1	BMP4	579
COL1A1	PXDN	636
COL1A1	IL1B	596
COL1A1	THBS1	896
COL1A1	CD44	987
COL1A1	CXCR4	593
COL1A1	MMP1	767
COL1A1	ESR1	443
COL1A1	THY1	807
COL1A1	SOX9	715
COL1A1	NT5E	479
COL1A1	NANOG	441
COL1A1	ACTB	664
COL1A1	NFKB1	423
COL1A1	CASP3	455
COL1A1	GAPDH	740
COL1A1	IGF1	714
COL1A1	IL1A	416
COL1A1	TGFB3	719
COL1A1	FGF10	408
COL1A1	AGT	461
COL1A1	RUNX2	955
COL1A1	MYC	402
COL1A1	INS	531
COL1A1	PECAM1	624
COL1A1	HIF1A	459
COL1A1	WNT5A	483
COL1A1	SMAD2	659
COL1A1	FGF18	416
COL1A1	CDH2	611
COL1A1	PDGFRB	831
COL1A1	SMAD3	773
COL1A1	CCN2	876
COL1A1	FN1	974
COL1A1	PXDNL	550
COL1A1	EGF	564
COL1A1	CDH1	487
COL1A1	IL6	630
COL1A1	IL4	555
COL1A1	IGF2	456
COL1A1	SPP1	747
COL1A1	APOE	549
COL1A1	STAT3	432
COL1A1	TP53	472
COL1A1	SMAD4	687
COL1A1	JUN	667
COL1A1	EDN1	421
CTNNB1	CD4	700
CTNNB1	SNAI2	801
CTNNB1	FGF4	669
CTNNB1	FGF20	684
CTNNB1	FGF22	662
CTNNB1	MAPK1	736
CTNNB1	TIMP1	482
CTNNB1	MMP2	803
CTNNB1	TGFB1	789
CTNNB1	HGF	658
CTNNB1	SERPINE1	494
CTNNB1	CCL2	571
CTNNB1	NFKB1	964
CTNNB1	IL2	527
CTNNB1	CCND1	972
CTNNB1	GLI1	829
CTNNB1	FGF6	647
CTNNB1	IFNG	713
CTNNB1	NANOG	946
CTNNB1	LOX	571
CTNNB1	IL4	486
CTNNB1	TGFB3	523
CTNNB1	TWIST1	812
CTNNB1	SNAI1	934
CTNNB1	BMP4	809
CTNNB1	SOX9	982
CTNNB1	APOE	681
CTNNB1	PXDN	790
CTNNB1	GFAP	552
CTNNB1	JAG1	796
CTNNB1	KRAS	885
CTNNB1	PDGFRA	756
CTNNB1	NT5E	557
CTNNB1	THBS1	516
CTNNB1	CDH1	999
CTNNB1	PDGFRB	592
CTNNB1	SMAD2	998
CTNNB1	MAPK3	873
CTNNB1	IL1A	552
CTNNB1	IL1B	745
CTNNB1	KDR	996
CTNNB1	FGF2	718
CTNNB1	WNT5A	869
CTNNB1	STAT3	897
CTNNB1	FGF10	686
CTNNB1	ICAM1	514
CTNNB1	LEF1	999
CTNNB1	EGF	868
CTNNB1	FGF7	683
CTNNB1	CDH2	999
CTNNB1	TP53	927
CTNNB1	ERBB2	998
CTNNB1	FGF18	686
CTNNB1	EGFR	998
CTNNB1	FLT1	799
CTNNB1	THY1	572
CTNNB1	WNT3A	976
CTNNB1	PPARG	994
CTNNB1	KIT	687
CTNNB1	WNT1	973
CTNNB1	VCAM1	509
CTNNB1	ALB	709
CTNNB1	ANXA5	694
CTNNB1	CSF2	439
CTNNB1	SHH	870
CTNNB1	MMP3	576
CTNNB1	WNT10B	751
CTNNB1	IL13	405
CTNNB1	FOS	618
CTNNB1	CXCL8	734
CTNNB1	CD34	655
CTNNB1	CASP3	965
CTNNB1	FGF5	681
CTNNB1	LEP	634
CTNNB1	HNF4A	999
CTNNB1	MET	985
CTNNB1	FGF8	769
CTNNB1	MMP1	486
CTNNB1	SOX2	991
CTNNB1	GSK3B	999
CTNNB1	CSF1	447
CTNNB1	SMAD3	999
CTNNB1	FGF3	664
CTNNB1	SMAD4	998
CTNNB1	FN1	850
CTNNB1	PXDNL	774
CTNNB1	NF1	555
