source	target	weight
9606.ENSP00000361021	9606.ENSP00000212015	757.0
9606.ENSP00000361021	9606.ENSP00000227507	855.0
9606.ENSP00000361021	9606.ENSP00000256078	936.0
9606.ENSP00000361021	9606.ENSP00000257290	828.0
9606.ENSP00000361021	9606.ENSP00000257904	865.0
9606.ENSP00000361021	9606.ENSP00000258149	902.0
9606.ENSP00000361021	9606.ENSP00000261769	930.0
9606.ENSP00000361021	9606.ENSP00000263025	756.0
9606.ENSP00000361021	9606.ENSP00000263341	738.0
9606.ENSP00000361021	9606.ENSP00000263967	995.0
9606.ENSP00000361021	9606.ENSP00000264657	794.0
9606.ENSP00000361021	9606.ENSP00000265171	746.0
9606.ENSP00000361021	9606.ENSP00000269305	999.0
9606.ENSP00000361021	9606.ENSP00000269571	868.0
9606.ENSP00000361021	9606.ENSP00000275493	969.0
9606.ENSP00000361021	9606.ENSP00000278616	897.0
9606.ENSP00000361021	9606.ENSP00000287820	830.0
9606.ENSP00000361021	9606.ENSP00000306245	715.0
9606.ENSP00000361021	9606.ENSP00000311032	748.0
9606.ENSP00000361021	9606.ENSP00000320147	760.0
9606.ENSP00000361021	9606.ENSP00000324806	906.0
9606.ENSP00000361021	9606.ENSP00000335153	803.0
9606.ENSP00000361021	9606.ENSP00000339527	853.0
9606.ENSP00000361021	9606.ENSP00000341551	912.0
9606.ENSP00000361021	9606.ENSP00000345571	839.0
9606.ENSP00000361021	9606.ENSP00000354558	942.0
9606.ENSP00000361021	9606.ENSP00000355759	726.0
9606.ENSP00000361021	9606.ENSP00000358548	872.0
9606.ENSP00000361021	9606.ENSP00000360266	775.0
9606.ENSP00000361021	9606.ENSP00000495360	943.0
9606.ENSP00000361021	9606.ENSP00000498587	758.0
9606.ENSP00000361021	9606.ENSP00000418915	923.0
9606.ENSP00000361021	9606.ENSP00000419060	943.0
9606.ENSP00000361021	9606.ENSP00000361405	766.0
9606.ENSP00000361021	9606.ENSP00000451828	988.0
9606.ENSP00000361021	9606.ENSP00000437955	830.0
9606.ENSP00000361021	9606.ENSP00000387699	704.0
9606.ENSP00000361021	9606.ENSP00000368880	903.0
9606.ENSP00000361021	9606.ENSP00000362680	837.0
9606.ENSP00000361021	9606.ENSP00000363822	892.0
9606.ENSP00000361021	9606.ENSP00000418960	821.0
9606.ENSP00000361021	9606.ENSP00000405330	807.0
9606.ENSP00000361021	9606.ENSP00000371067	794.0
9606.ENSP00000361021	9606.ENSP00000384849	792.0
9606.ENSP00000361021	9606.ENSP00000494750	720.0
9606.ENSP00000361021	9606.ENSP00000380070	752.0
9606.ENSP00000361021	9606.ENSP00000407586	823.0
9606.ENSP00000361021	9606.ENSP00000478887	908.0
9606.ENSP00000361021	9606.ENSP00000381185	815.0
9606.ENSP00000361021	9606.ENSP00000380432	869.0
9606.ENSP00000355759	9606.ENSP00000212015	844.0
9606.ENSP00000355759	9606.ENSP00000226574	828.0
9606.ENSP00000355759	9606.ENSP00000227507	724.0
